id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,days_since_prev_campaign_contact,num_contacts_prev_campaign,prev_campaign_outcome,lead_value
id_8545,39.0,management,married,tertiary,no,1.0,yes,no,cellular,30,apr,574.0,1.0,,0,unknown,1
id_45118,62.0,management,married,unknown,no,2350.0,no,no,cellular,3,nov,187.0,4.0,183.0,7,success,1
id_28858,60.0,unemployed,married,secondary,no,1623.0,no,no,cellular,4,aug,197.0,1.0,180.0,2,success,1
id_4726,31.0,technician,married,unknown,no,12.0,yes,no,cellular,11,jul,512.0,2.0,,0,unknown,1
id_31712,73.0,retired,married,primary,no,1390.0,no,no,telephone,25,oct,263.0,1.0,97.0,6,failure,1
id_12509,34.0,blue-collar,single,secondary,no,604.0,no,no,cellular,30,jan,425.0,2.0,196.0,2,other,1
id_4883,54.0,management,married,tertiary,no,1619.0,no,no,cellular,30,apr,276.0,3.0,84.0,3,success,1
id_41558,50.0,entrepreneur,married,secondary,no,1304.0,no,no,cellular,15,jun,298.0,1.0,,0,unknown,1
id_17227,32.0,technician,married,tertiary,no,147.0,no,no,cellular,22,aug,754.0,2.0,,0,unknown,1
id_42684,33.0,management,married,tertiary,no,10879.0,no,no,cellular,10,aug,292.0,3.0,98.0,2,success,1
id_41822,,services,single,secondary,no,152.0,yes,yes,cellular,25,jul,599.0,5.0,,0,unknown,1
id_21047,31.0,management,single,tertiary,no,5387.0,no,no,cellular,6,aug,1441.0,3.0,,0,unknown,1
id_26012,44.0,management,married,tertiary,no,245.0,no,no,cellular,4,aug,116.0,2.0,96.0,1,success,1
id_40036,39.0,management,married,secondary,no,12280.0,yes,no,unknown,2,jun,977.0,4.0,,0,unknown,1
id_19503,35.0,technician,divorced,secondary,yes,359.0,no,no,cellular,29,jan,338.0,2.0,240.0,8,other,1
id_32075,30.0,admin.,single,secondary,no,690.0,no,no,cellular,10,nov,226.0,3.0,555.0,16,failure,1
id_18234,28.0,management,single,secondary,no,610.0,yes,no,cellular,21,jul,604.0,1.0,,0,unknown,1
id_37325,30.0,services,married,secondary,no,6562.0,yes,no,cellular,21,jul,541.0,1.0,,0,unknown,1
id_6345,29.0,technician,single,tertiary,no,704.0,yes,no,cellular,25,may,404.0,2.0,35.0,4,failure,1
id_13679,81.0,retired,married,secondary,no,721.0,no,no,telephone,9,sep,288.0,1.0,79.0,3,failure,1
id_34056,68.0,retired,married,primary,no,576.0,no,no,cellular,14,aug,229.0,1.0,,0,unknown,1
id_8574,57.0,retired,married,secondary,no,639.0,no,no,telephone,20,nov,566.0,2.0,,0,unknown,1
id_8391,42.0,entrepreneur,married,secondary,no,0.0,no,no,unknown,3,jun,1036.0,7.0,,0,unknown,1
id_30347,52.0,technician,married,secondary,no,3171.0,no,no,cellular,7,aug,670.0,1.0,,0,unknown,1
id_11679,52.0,unemployed,married,secondary,no,90.0,no,no,cellular,10,feb,147.0,1.0,92.0,13,success,1
id_28945,28.0,admin.,single,secondary,no,269.0,no,no,cellular,16,nov,167.0,1.0,200.0,2,success,1
id_4660,34.0,management,single,tertiary,no,1430.0,no,no,cellular,11,aug,1153.0,3.0,,0,unknown,1
id_24699,33.0,blue-collar,single,unknown,no,125.0,yes,yes,cellular,30,apr,484.0,1.0,161.0,1,failure,1
id_8814,50.0,housemaid,married,secondary,no,383.0,no,no,cellular,8,jun,160.0,2.0,89.0,2,success,1
id_26257,47.0,entrepreneur,married,tertiary,no,1916.0,no,no,cellular,22,aug,619.0,6.0,,0,unknown,1
id_13981,23.0,student,single,secondary,no,4036.0,yes,no,cellular,15,may,1393.0,1.0,,0,unknown,1
id_30742,29.0,unemployed,single,tertiary,no,1683.0,no,no,cellular,15,apr,181.0,2.0,,0,unknown,1
id_4156,32.0,services,single,secondary,no,482.0,no,no,cellular,29,jan,1170.0,1.0,,0,unknown,1
id_31990,62.0,retired,married,primary,no,36.0,no,no,cellular,18,jun,736.0,3.0,,0,unknown,1
id_38815,35.0,entrepreneur,single,tertiary,no,-961.0,no,no,cellular,13,apr,309.0,1.0,,0,unknown,1
id_10654,41.0,blue-collar,married,secondary,no,15.0,yes,no,cellular,9,feb,692.0,5.0,279.0,1,failure,1
id_38957,27.0,self-employed,married,tertiary,no,476.0,no,yes,cellular,22,jul,619.0,1.0,,0,unknown,1
id_483,36.0,management,married,tertiary,no,364.0,no,no,cellular,18,nov,198.0,4.0,102.0,2,failure,1
id_38140,35.0,admin.,divorced,secondary,no,1574.0,yes,no,cellular,12,may,624.0,3.0,326.0,10,failure,1
id_32846,38.0,self-employed,single,secondary,no,3667.0,yes,no,unknown,29,may,598.0,2.0,,0,unknown,1
id_35628,30.0,management,single,tertiary,no,2359.0,no,no,cellular,17,may,497.0,1.0,,0,unknown,1
id_4436,37.0,management,married,tertiary,no,609.0,no,no,cellular,26,may,223.0,2.0,391.0,2,success,1
id_41884,33.0,admin.,married,secondary,no,356.0,yes,no,cellular,18,nov,530.0,1.0,193.0,1,failure,1
id_39839,48.0,management,married,primary,no,310.0,no,no,telephone,14,oct,940.0,1.0,,0,unknown,1
id_14806,45.0,technician,single,tertiary,no,1155.0,no,no,cellular,15,jul,617.0,11.0,,0,unknown,1
id_43263,50.0,blue-collar,married,primary,no,229.0,yes,no,unknown,9,may,758.0,3.0,,0,unknown,1
id_14610,72.0,retired,divorced,secondary,no,4381.0,no,no,cellular,22,sep,378.0,1.0,,0,unknown,1
id_16455,41.0,blue-collar,divorced,secondary,no,3622.0,no,no,unknown,19,jun,1125.0,4.0,,0,unknown,1
id_12452,25.0,student,single,unknown,no,2184.0,no,no,cellular,5,feb,231.0,3.0,,0,unknown,1
id_16874,41.0,management,single,secondary,no,10374.0,yes,no,cellular,17,nov,540.0,3.0,,0,unknown,1
id_12621,44.0,admin.,single,secondary,no,685.0,no,no,cellular,7,dec,152.0,1.0,186.0,1,success,1
id_36047,,blue-collar,married,secondary,no,5161.0,no,no,cellular,13,aug,244.0,2.0,265.0,1,failure,1
id_39312,32.0,technician,married,tertiary,no,2976.0,yes,no,cellular,9,nov,463.0,2.0,95.0,12,other,1
id_24183,71.0,retired,married,secondary,no,1692.0,no,no,cellular,6,oct,483.0,1.0,,0,unknown,1
id_42445,24.0,blue-collar,single,secondary,no,4149.0,no,no,cellular,17,jul,638.0,1.0,,0,unknown,1
id_20744,30.0,self-employed,married,tertiary,no,-356.0,yes,no,unknown,23,may,901.0,2.0,,0,unknown,1
id_26216,60.0,blue-collar,married,unknown,no,2091.0,yes,no,cellular,7,may,967.0,2.0,,0,unknown,1
id_29875,28.0,technician,married,tertiary,no,535.0,no,no,cellular,30,apr,469.0,2.0,,0,unknown,1
id_41888,79.0,management,married,unknown,no,1778.0,yes,no,cellular,23,oct,212.0,2.0,183.0,3,success,1
id_5627,26.0,admin.,married,secondary,no,536.0,yes,no,cellular,15,may,605.0,1.0,344.0,4,failure,1
id_6335,25.0,entrepreneur,single,secondary,no,103.0,yes,no,cellular,5,feb,802.0,1.0,268.0,1,failure,1
id_27919,40.0,unemployed,married,secondary,no,1956.0,yes,no,unknown,2,jun,607.0,6.0,,0,unknown,1
id_11071,28.0,management,single,tertiary,no,151.0,yes,no,cellular,31,jul,622.0,18.0,,0,unknown,1
id_2841,31.0,admin.,single,tertiary,no,306.0,no,no,cellular,30,apr,640.0,1.0,85.0,2,success,1
id_6539,37.0,technician,single,secondary,no,1693.0,yes,no,cellular,10,feb,512.0,1.0,,0,unknown,1
id_31318,26.0,student,single,unknown,no,1006.0,no,no,cellular,12,aug,376.0,1.0,,0,unknown,1
id_20715,51.0,management,married,tertiary,no,-4.0,no,no,telephone,4,may,1084.0,3.0,175.0,1,success,1
id_16356,37.0,technician,single,tertiary,no,962.0,yes,no,cellular,8,may,564.0,1.0,,0,unknown,1
id_24810,39.0,admin.,divorced,secondary,no,2680.0,yes,yes,unknown,23,may,823.0,1.0,,0,unknown,1
id_34111,69.0,retired,divorced,primary,no,274.0,no,no,cellular,14,jun,284.0,1.0,425.0,1,success,1
id_26386,67.0,retired,single,tertiary,no,2143.0,no,no,telephone,21,apr,827.0,2.0,,0,unknown,1
id_33431,40.0,self-employed,married,secondary,no,-4.0,no,no,cellular,25,sep,409.0,2.0,,0,unknown,1
id_29633,36.0,admin.,divorced,secondary,no,23.0,yes,no,cellular,2,jul,509.0,2.0,147.0,5,success,1
id_36278,48.0,self-employed,married,tertiary,no,2006.0,no,no,unknown,16,jun,1025.0,1.0,,0,unknown,1
id_33822,30.0,self-employed,single,secondary,no,3758.0,no,yes,cellular,23,jul,612.0,3.0,,0,unknown,1
id_27665,48.0,technician,divorced,secondary,no,973.0,no,no,cellular,25,may,603.0,2.0,,0,unknown,1
id_13399,39.0,blue-collar,married,primary,no,172.0,yes,yes,telephone,21,jul,736.0,4.0,,0,unknown,1
id_35074,40.0,entrepreneur,single,secondary,no,663.0,no,no,cellular,24,jul,1217.0,1.0,,0,unknown,1
id_15759,57.0,retired,married,primary,no,3645.0,no,no,telephone,23,oct,242.0,2.0,126.0,3,success,1
id_27256,65.0,retired,married,secondary,no,3.0,no,no,cellular,8,oct,202.0,1.0,,0,unknown,1
id_21136,34.0,technician,single,secondary,no,374.0,no,no,cellular,13,aug,497.0,1.0,,0,unknown,1
id_40465,30.0,self-employed,single,secondary,no,5225.0,no,no,cellular,14,oct,411.0,2.0,,0,unknown,1
id_34321,59.0,retired,married,primary,no,1339.0,no,no,cellular,19,nov,898.0,2.0,,0,unknown,1
id_41443,51.0,technician,married,tertiary,no,2503.0,no,no,cellular,16,jul,376.0,1.0,228.0,3,failure,1
id_8146,56.0,entrepreneur,married,unknown,no,2441.0,no,no,unknown,19,jun,1398.0,3.0,,0,unknown,1
id_13258,57.0,admin.,married,secondary,no,2747.0,no,no,cellular,17,nov,904.0,2.0,,0,unknown,1
id_37867,29.0,technician,single,secondary,no,629.0,no,no,cellular,29,apr,853.0,7.0,,0,unknown,1
id_22831,43.0,technician,married,secondary,no,782.0,yes,no,cellular,17,jul,521.0,2.0,,0,unknown,1
id_2468,35.0,blue-collar,married,secondary,no,4588.0,yes,no,unknown,8,may,783.0,1.0,,0,unknown,1
id_23981,40.0,housemaid,married,primary,no,266.0,no,no,unknown,9,jun,1134.0,5.0,,0,unknown,1
id_11376,28.0,technician,married,secondary,no,1184.0,yes,no,unknown,29,may,623.0,3.0,,0,unknown,1
id_6094,49.0,admin.,single,secondary,no,290.0,no,no,cellular,28,jun,463.0,1.0,,0,unknown,1
id_33272,60.0,admin.,married,secondary,no,165.0,no,no,cellular,13,aug,874.0,1.0,92.0,8,success,1
id_26347,45.0,entrepreneur,married,tertiary,no,118.0,no,no,cellular,9,nov,235.0,1.0,91.0,1,success,1
id_21734,40.0,admin.,single,unknown,no,478.0,no,no,cellular,29,jan,567.0,1.0,,0,unknown,1
id_4730,57.0,housemaid,divorced,secondary,no,,no,no,cellular,7,jul,1195.0,1.0,,0,unknown,1
id_4463,34.0,entrepreneur,married,tertiary,no,508.0,yes,no,unknown,30,may,663.0,1.0,,0,unknown,1
id_27525,47.0,technician,married,secondary,no,,no,no,cellular,18,aug,685.0,4.0,,0,unknown,1
id_31170,52.0,management,married,tertiary,no,16.0,no,no,cellular,20,aug,913.0,2.0,,0,unknown,1
id_33285,33.0,blue-collar,divorced,secondary,no,720.0,yes,no,unknown,13,may,1036.0,1.0,,0,unknown,1
id_32240,38.0,management,single,tertiary,no,4.0,yes,no,cellular,7,jul,544.0,1.0,61.0,3,success,1
id_40631,21.0,student,single,tertiary,no,1255.0,no,no,cellular,7,jul,395.0,1.0,,0,unknown,1
id_23017,50.0,admin.,married,secondary,no,380.0,no,no,cellular,5,aug,505.0,2.0,,0,unknown,1
id_37792,58.0,management,divorced,tertiary,no,6468.0,yes,no,cellular,31,mar,672.0,4.0,,0,unknown,1
id_44353,60.0,retired,married,tertiary,no,150.0,yes,yes,cellular,8,may,670.0,2.0,366.0,1,other,1
id_39162,41.0,management,married,secondary,no,216.0,no,no,cellular,11,aug,1148.0,4.0,,0,unknown,1
id_27595,30.0,management,married,tertiary,no,876.0,no,no,cellular,9,sep,209.0,1.0,92.0,8,success,1
id_7473,30.0,technician,single,secondary,no,6399.0,yes,no,cellular,6,may,176.0,1.0,167.0,1,success,1
id_37261,26.0,management,single,tertiary,no,106.0,no,no,cellular,18,oct,780.0,3.0,,0,unknown,1
id_43629,26.0,admin.,married,tertiary,no,334.0,no,no,cellular,9,apr,193.0,1.0,,0,unknown,1
id_15154,37.0,entrepreneur,single,secondary,no,2539.0,no,no,cellular,10,aug,232.0,1.0,414.0,4,failure,1
id_25158,37.0,management,married,secondary,no,568.0,no,no,cellular,5,may,333.0,1.0,6.0,2,success,1
id_44195,37.0,technician,married,secondary,no,1495.0,no,yes,cellular,21,nov,474.0,2.0,94.0,3,other,1
id_39266,39.0,technician,single,secondary,no,538.0,yes,no,cellular,5,feb,670.0,1.0,,0,unknown,1
id_37730,37.0,management,divorced,tertiary,no,9544.0,no,,unknown,15,may,818.0,1.0,,0,unknown,1
id_32346,25.0,admin.,single,secondary,no,91.0,yes,no,cellular,13,may,617.0,2.0,348.0,3,other,1
id_8730,42.0,self-employed,married,secondary,no,831.0,no,no,cellular,19,nov,199.0,1.0,111.0,2,failure,1
id_11188,55.0,technician,married,secondary,no,-3.0,yes,no,cellular,5,feb,1819.0,1.0,205.0,1,failure,1
id_38027,61.0,technician,married,primary,no,2279.0,no,no,cellular,25,nov,1086.0,1.0,,0,unknown,1
id_19888,59.0,management,divorced,tertiary,no,1020.0,yes,no,cellular,29,jan,457.0,2.0,234.0,5,failure,1
id_8749,56.0,blue-collar,married,primary,no,3489.0,no,no,cellular,18,aug,644.0,4.0,,0,unknown,1
id_40319,34.0,technician,married,secondary,no,5557.0,yes,no,cellular,21,nov,786.0,2.0,182.0,5,failure,1
id_3986,41.0,management,divorced,unknown,no,467.0,yes,no,cellular,22,jul,1527.0,1.0,,0,unknown,1
id_2792,33.0,unemployed,single,secondary,no,242.0,yes,no,unknown,4,jun,712.0,2.0,,0,unknown,1
id_21715,47.0,management,married,tertiary,no,2.0,no,no,cellular,10,aug,229.0,3.0,130.0,3,other,1
id_36760,40.0,unemployed,divorced,secondary,no,1697.0,no,no,cellular,12,aug,460.0,6.0,,0,unknown,1
id_13295,61.0,management,married,tertiary,no,3303.0,no,no,unknown,17,jun,2607.0,3.0,,0,unknown,1
id_22173,47.0,blue-collar,married,primary,no,478.0,no,no,cellular,11,aug,873.0,3.0,,0,unknown,1
id_7238,31.0,management,single,tertiary,no,3037.0,yes,no,cellular,8,may,602.0,3.0,,0,unknown,1
id_6622,37.0,services,single,secondary,no,101.0,yes,yes,cellular,20,apr,618.0,1.0,,0,unknown,1
id_5849,59.0,services,married,secondary,no,4423.0,no,no,cellular,9,nov,142.0,1.0,96.0,6,failure,1
id_33816,38.0,blue-collar,married,primary,no,1.0,yes,no,cellular,21,jul,1098.0,4.0,,0,unknown,1
